,goods_no,est_no,image,point_yn
0,746159,6650482,/data/estimate/746159_0/gallery_5fc6f614b7dbd.jpg,N
1,1154970,8087588,/data/estimate/1154970_0/gallery_5fc736ea2e966.jpg,N
2,1300883,9508218,/data/estimate/1300883_0/gallery_5fc901f21521a.jpg,N
3,1437585,11012589,/data/estimate/1437585_0/gallery_5fc7564a247ce.jpg,N
4,1436218,11596461,/data/estimate/1436218_0/gallery_5fc8c18cedfcc.jpg,N
5,921832,11731360,/data/estimate/921832_0/gallery_5fc9a755b04c2.jpg,N
6,1214171,11731450,/data/estimate/1214171_0/gallery_5fc9a6df2f992.jpg,N
7,1191536,11815228,/data/estimate/1191536_0/gallery_5fc6fb43db169.jpg,N
8,1571361,11910765,/data/estimate/1571361_0/gallery_5fc7805ad0551.jpg,N
9,1495568,12127992,/data/estimate/1495568_0/gallery_5fca06cf751a7.jpg,N
10,1027583,12437481,/data/estimate/1027583_0/gallery_5fc9c9f16e38c.jpg,N
11,1333324,12494894,/data/estimate/1333324_0/gallery_5fc66ce25ddfd.jpg,N
12,705300,12565683,/data/estimate/705300_0/gallery_5fc87eef47fa0.jpg,N
13,1335306,12581402,/data/estimate/1335306_0/gallery_5fc891aab6be7.jpg,N
14,1645708,12676824,/data/estimate/1645708_0/gallery_5fc87a8c03e5a.jpg,N
15,1643600,12719332,/data/estimate/1643600_0/gallery_5fc7cebbd9fbf.jpg,N
16,1433913,12924663,/data/estimate/1433913_0/gallery_5fc7be5c5d26f.jpg,N
17,1112080,13045240,/data/estimate/1112080_0/gallery_5fc7aa1db9522.jpg,N
18,1526985,13091692,/data/estimate/1526985_0/gallery_5fc8f784ab3fe.jpg,N
19,1504726,13122755,/data/estimate/1504726_0/gallery_5fc6731f17ba7.jpg,N
20,1220731,13127734,/data/estimate/1220731_0/gallery_5fc9f0c2a3a55.jpg,N
21,752821,13158993,/data/estimate/752821_0/gallery_5fc8ee0af040e.jpg,N
22,577636,13267181,/data/estimate/577636_0/gallery_5fc71c519673e.jpg,N
23,577636,13267181,/data/estimate/577636_0/gallery_5fc71c5336702.jpg,N
24,577636,13267181,/data/estimate/577636_0/gallery_5fc71c54b222b.jpg,N
25,705441,13274887,/data/estimate/705441_0/gallery_5fc9c298ef4d7.jpg,N
26,705441,13274887,/data/estimate/705441_0/gallery_5fc9c29b19626.jpg,N
27,1332272,13294078,/data/estimate/1332272_0/gallery_5fc8637642f48.jpg,N
28,1031296,13305123,/data/estimate/1031296_0/gallery_5fc6aa3788f2f.jpg,N
29,381937,13305433,/data/estimate/381937_0/gallery_5fc6aad70ceb5.jpg,N
30,890519,13310067,/data/estimate/890519_0/gallery_5fc87d475ded6.jpg,N
31,624924,13313366,/data/estimate/624924_0/gallery_5fc7433b2c021.jpg,N
32,1286983,13336545,/data/estimate/1286983_0/gallery_5fc7a58b093b0.jpg,N
33,1455364,13353300,/data/estimate/1455364_0/gallery_5fc6e110243b2.jpg,N
34,990461,13353434,/data/estimate/990461_0/gallery_5fc9946a3dcd3.jpg,N
35,1632861,13359966,/data/estimate/1632861_0/gallery_5fc77012b5692.jpg,N
36,865862,13362974,/data/estimate/865862_0/gallery_5fc754d430553.jpg,N
37,1648642,13364005,/data/estimate/1648642_0/gallery_5fc6edb28aed0.jpg,N
38,768708,13366050,/data/estimate/768708_0/gallery_5fc97d66ae3d2.jpg,N
39,1293160,13372205,/data/estimate/1293160_0/gallery_5fc6f015d4570.jpg,N
40,1629102,13373303,/data/estimate/1629102_0/gallery_5fc6f8cabbdda.jpg,N
41,1524690,13373592,/data/estimate/1524690_0/gallery_5fc6f4603c8e3.jpg,N
42,1551961,13375931,/data/estimate/1551961_0/gallery_5fc7bca6461ac.jpg,N
43,1620116,13377645,/data/estimate/1620116_0/gallery_5fc76db55ec44.jpg,N
44,1287355,13387911,/data/estimate/1287355_0/gallery_5fc7a5f2a3454.jpg,N
45,1347696,13389915,/data/estimate/1347696_0/gallery_5fc9ba7ed8578.jpg,N
46,1261617,13390371,/data/estimate/1261617_0/gallery_5fc9ba558dfee.jpg,N
47,1149328,13390529,/data/estimate/1149328_0/gallery_5fc87b6bd7f59.jpg,N
48,992974,13392433,/data/estimate/992974_0/gallery_5fc8e98864f55.jpg,N
49,836980,13392613,/data/estimate/836980_0/gallery_5fc76e8c11d07.jpg,N
50,1565991,13395787,/data/estimate/1565991_0/gallery_5fc8cd8f2ab5e.jpg,N
51,993238,13396009,/data/estimate/993238_0/gallery_5fc770e362bae.jpg,N
52,1310473,13402523,/data/estimate/1310473_0/gallery_5fc8ba5726d00.jpg,N
53,947067,13406286,/data/estimate/947067_0/gallery_5fc8b68dc8c69.jpg,N
54,1231285,13412161,/data/estimate/1231285_0/gallery_5fc83d87d222a.jpg,N
55,1375971,13413431,/data/estimate/1375971_0/gallery_5fc9f8f668133.jpg,N
56,1214174,13424274,/data/estimate/1214174_0/gallery_5fc8b5265a800.jpg,N
57,1546698,13427186,/data/estimate/1546698_0/gallery_5fc8b78da66cd.jpg,N
58,1645743,13434163,/data/estimate/1645743_0/gallery_5fc9d30222be3.jpg,N
59,1537633,13434932,/data/estimate/1537633_0/gallery_5fc877e40d07e.jpg,N
60,1546697,13440167,/data/estimate/1546697_0/gallery_5fc77045cf5e8.jpg,N
61,864957,13451837,/data/estimate/864957_0/gallery_5fc8e3853d6cf.jpg,N
62,1515685,13454991,/data/estimate/1515685_0/gallery_5fc8e8bc7fbb3.jpg,N
63,1190268,13455690,/data/estimate/1190268_0/gallery_5fc9021ac2419.jpg,N
64,1565613,13456383,/data/estimate/1565613_0/gallery_5fc9b375358bc.jpg,N
65,1327479,13461620,/data/estimate/1327479_0/gallery_5fc65b946b2de.jpg,N
66,1619605,13461733,/data/estimate/1619605_0/gallery_5fc65c04c105d.jpg,N
67,1628291,13462018,/data/estimate/1628291_0/gallery_5fc65d47101be.jpg,N
68,1616454,13462061,/data/estimate/1616454_0/gallery_5fc65d7d74c71.jpg,N
69,1279196,13462154,/data/estimate/1279196_0/gallery_5fc65e07354a0.jpg,N
70,452483,13462195,/data/estimate/452483_0/gallery_5fc65e42e0459.jpg,N
71,999426,13462375,/data/estimate/999426_0/gallery_5fc65f3a548b3.jpg,N
72,714459,13462395,/data/estimate/714459_0/gallery_5fc65f5dcac00.jpg,N
73,999426,13462559,/data/estimate/999426_0/gallery_5fc6604470d30.jpg,N
74,999426,13462559,/data/estimate/999426_0/gallery_5fc66045d9240.jpg,N
75,1663642,13462615,/data/estimate/1663642_0/gallery_5fc6608cccf3e.jpg,N
76,1037219,13462679,/data/estimate/1037219_0/gallery_5fc660dbe3b84.jpg,N
77,1355419,13462762,/data/estimate/1355419_0/gallery_5fc6616de4511.jpg,N
78,1321879,13462819,/data/estimate/1321879_0/gallery_5fc661bf85532.jpg,N
79,1515617,13462846,/data/estimate/1515617_0/gallery_5fc661df484f9.jpg,N
80,1562684,13462970,/data/estimate/1562684_0/gallery_5fc662c432a5c.jpg,N
81,1312893,13462992,/data/estimate/1312893_0/gallery_5fc662ec2ba2a.jpg,N
